# GATHER QUESTS (20 quests)
Сбор трав | Найти целебные травы в лесу | 1 | 3 | 6 | Common | 0.08 | Gather
Победить разбойников | Разобраться с бандой в лесу | 6 | 12 | 20 | Rare | 0.25 | Combat
Вызов гладиатора | Пройти испытание на арене | 10 | 20 | 30 | Epic | 0.40 | Combat
Сразиться с драконом | Победить древнего дракона | 15 | 50 | 40 | Legendary | 0.50 | Combat
Охота на волков | Уничтожить стую волков | 2 | 6 | 12 | Common | 0.12 | Combat
Битва с орками | Сразиться с отрядом орков | 5 | 10 | 18 | Uncommon | 0.18 | Combat
Победить тролля | Одолеть горного тролля | 8 | 15 | 25 | Rare | 0.28 | Combat
Сражение с нежитью | Очистить кладбище от скелетов | 7 | 14 | 22 | Rare | 0.26 | Combat
Уничтожить гоблинов | Разгромить лагерь гоблинов | 4 | 9 | 16 | Uncommon | 0.16 | Combat
Победить минотавра | Сразиться с лабиринтным стражем | 12 | 22 | 35 | Epic | 0.38 | Combat
Охота на демонов | Изгнать демонов из города | 18 | 30 | 45 | Epic | 0.42 | Combat
Битва с вампиром | Уничтожить древнего вампира | 20 | 35 | 50 | Legendary | 0.48 | Combat
Сражение с грифоном | Одолеть небесного хищника | 14 | 25 | 38 | Epic | 0.36 | Combat
Победить кракена | Сразиться с морским чудовищем | 25 | 45 | 60 | Legendary | 0.52 | Combat
Охота на мантикору | Уничтожить крылатого зверя | 16 | 28 | 42 | Epic | 0.39 | Combat
Битва с лич-королем | Победить повелителя нежити | 30 | 50 | 70 | Legendary | 0.55 | Combat
Сражение с химерой | Одолеть трехголовое чудовище | 22 | 38 | 55 | Legendary | 0.49 | Combat
Победить элементаля | Сразиться с огненным элементалем | 11 | 20 | 32 | Rare | 0.31 | Combat
Охота на василиска | Уничтожить каменящего взглядом | 19 | 32 | 48 | Epic | 0.41 | Combat
Битва с фениксом | Сразиться с возрождающейся птицей | 35 | 50 | 80 | Legendary | 0.58 | Combat

# EXPLORE QUESTS (20 quests)
Исследовать лес | Прогуляться по таинственному лесу | 1 | 5 | 10 | Common | 0.10 | Explore
Поход в руины | Исследовать древние руины | 8 | 15 | 25 | Rare | 0.30 | Explore
Найти сокровище | Обнаружить спрятанный клад | 12 | 25 | 35 | Epic | 0.35 | Explore
Исследовать пещеры | Изучить подземные лабиринты | 5 | 11 | 20 | Uncommon | 0.22 | Explore
Поиск затерянного города | Найти легендарную Атлантиду | 25 | 45 | 60 | Legendary | 0.50 | Explore
Исследовать башню мага | Подняться на вершину башни | 10 | 18 | 30 | Rare | 0.32 | Explore
Поход в горы | Покорить заснеженные вершины | 6 | 12 | 22 | Uncommon | 0.24 | Explore
Исследовать болота | Изучить мрачные топи | 4 | 9 | 16 | Uncommon | 0.18 | Explore
Поиск портала | Найти врата в другой мир | 20 | 35 | 50 | Epic | 0.45 | Explore
Исследовать храм | Изучить забытый храм богов | 15 | 28 | 42 | Epic | 0.38 | Explore
Поход в пустыню | Пересечь песчаные дюны | 9 | 16 | 28 | Rare | 0.29 | Explore
Исследовать призрачный корабль | Изучить корабль-призрак | 18 | 32 | 48 | Epic | 0.42 | Explore
Поиск летающего острова | Найти парящую в небе землю | 30 | 50 | 70 | Legendary | 0.55 | Explore
Исследовать ледяную крепость | Изучить замерзший замок | 13 | 23 | 36 | Rare | 0.34 | Explore
Поход под землю | Спуститься в глубины подземелий | 7 | 14 | 24 | Uncommon | 0.26 | Explore
Исследовать вулкан | Изучить огненную гору | 16 | 29 | 44 | Epic | 0.40 | Explore
Поиск священной рощи | Найти древний лес друидов | 11 | 21 | 34 | Rare | 0.33 | Explore
Исследовать лунную долину | Изучить мистическую долину | 22 | 38 | 56 | Epic | 0.46 | Explore
Поход к краю мира | Дойти до границы реальности | 40 | 50 | 90 | Legendary | 0.60 | Explore
Исследовать временную аномалию | Изучить разлом во времени | 35 | 50 | 80 | Legendary | 0.58 | Explore

# CRAFT QUESTS (20 quests)
Создать меч | Выковать стальной меч | 5 | 10 | 18 | Uncommon | 0.20 | Craft
Изготовить зелье | Сварить лечебное зелье | 3 | 6 | 12 | Uncommon | 0.12 | Craft
Создать броню | Выковать кольчугу | 8 | 15 | 26 | Rare | 0.28 | Craft
Изготовить кольцо | Создать магическое кольцо | 10 | 18 | 30 | Rare | 0.32 | Craft
Создать лук | Изготовить эльфийский лук | 6 | 12 | 20 | Uncommon | 0.22 | Craft
Изготовить амулет | Создать защитный амулет | 12 | 20 | 35 | Rare | 0.35 | Craft
Создать посох | Выточить магический посох | 15 | 25 | 40 | Epic | 0.40 | Craft
Изготовить эликсир | Сварить эликсир бессмертия | 25 | 40 | 60 | Legendary | 0.50 | Craft
Создать щит | Выковать драконью эгиду | 9 | 16 | 28 | Rare | 0.30 | Craft
Изготовить сапоги | Создать сапоги-скороходы | 7 | 13 | 22 | Uncommon | 0.24 | Craft
Создать шлем | Выковать шлем паладина | 11 | 19 | 32 | Rare | 0.34 | Craft
Изготовить плащ | Соткать плащ-невидимку | 18 | 30 | 45 | Epic | 0.42 | Craft
Создать артефакт | Изготовить древний артефакт | 30 | 50 | 70 | Legendary | 0.55 | Craft
Изготовить перчатки | Создать перчатки силы | 4 | 8 | 14 | Uncommon | 0.16 | Craft
Создать ожерелье | Изготовить ожерелье мудрости | 14 | 24 | 38 | Epic | 0.38 | Craft
Изготовить башмаки | Создать танцующие башмаки | 16 | 28 | 42 | Epic | 0.39 | Craft
Создать корону | Выковать королевскую корону | 35 | 50 | 80 | Legendary | 0.58 | Craft
Изготовить зеркало | Создать зеркало истины | 20 | 35 | 50 | Epic | 0.45 | Craft
Создать книгу | Написать книгу заклинаний | 13 | 22 | 36 | Rare | 0.36 | Craft
Изготовить орб | Создать орб стихий | 22 | 38 | 55 | Epic | 0.48 | Craft

# ESCORT QUESTS (20 quests)
Помощь кузнецу | Доставить руду в кузницу | 4 | 9 | 12 | Uncommon | 0.10 | Escort
Защитить караван | Сопроводить торговцев | 7 | 14 | 22 | Rare | 0.28 | Escort
Сопроводить принцессу | Доставить знатную особу | 20 | 40 | 50 | Legendary | 0.45 | Escort
Эскорт ученого | Сопроводить алхимика в лабораторию | 5 | 10 | 16 | Uncommon | 0.18 | Escort
Защитить паломников | Сопроводить верующих в храм | 6 | 12 | 20 | Uncommon | 0.22 | Escort
Эскорт посла | Доставить дипломата на переговоры | 12 | 22 | 35 | Rare | 0.35 | Escort
Сопроводить беженцев | Вывести людей из опасной зоны | 8 | 15 | 25 | Rare | 0.30 | Escort
Защитить мага | Сопроводить волшебника к порталу | 15 | 25 | 40 | Epic | 0.40 | Escort
Эскорт артефакта | Доставить священную реликвию | 18 | 30 | 45 | Epic | 0.42 | Escort
Сопроводить короля | Обеспечить безопасность монарха | 30 | 50 | 70 | Legendary | 0.55 | Escort
Защитить детей | Сопроводить сирот в приют | 3 | 7 | 14 | Uncommon | 0.14 | Escort
Эскорт невесты | Доставить невесту на свадьбу | 9 | 16 | 28 | Rare | 0.32 | Escort
Сопроводить пленника | Доставить преступника в тюрьму | 11 | 19 | 32 | Rare | 0.34 | Escort
Защитить сокровище | Сопроводить груз золота | 14 | 24 | 38 | Epic | 0.38 | Escort
Эскорт жреца | Сопроводить священника в храм | 10 | 18 | 30 | Rare | 0.33 | Escort
Сопроводить раненого | Доставить больного к лекарю | 2 | 5 | 8 | Common | 0.08 | Escort
Защитить свидетеля | Сопроводить свидетеля на суд | 13 | 23 | 36 | Rare | 0.36 | Escort
Эскорт призрака | Проводить душу в загробный мир | 25 | 42 | 65 | Legendary | 0.52 | Escort
Сопроводить дракона | Доставить детеныша дракона домой | 35 | 50 | 80 | Legendary | 0.58 | Escort
Защитить время | Сопроводить хранителя времени | 40 | 50 | 90 | Legendary | 0.60 | Escort
